Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.49,1.47,1.49,1.5,1.42,1.47,1.471,1.847,1.636,1.409
R01D,1.45,1.48,1.47,1.5,1.25,0,1.475,1.858,1.631,1.406
R01D,1.68,1.729,1.72,1.8,1.72,1.659,1.737,1.675,1.767,1.538
R01D,1.53,1.55,1.531,1.55,1.51,1.534,1.529,1.648,1.755,1.515
R01D,1.06,0.996,0.98,1.06,0.95,1.083,0.996,1.09,0.959,1.367
R01D,1.73,1.67,1.67,1.73,1.6,0,1.666,1.631,1.723,1.493
R01D,1.15,1.12,1.05,1.136,1.05,0,1.117,1.205,1.208,1.026
R01D,0.828,0.83,0.82,0.84,0.82,0.825,0.827,0.818,0.838,1.648
R01D,2.23,2.3,2.3,2.34,2.1,2.233,2.304,1.679,1.503,1.351
R01D,2.1,2.17,2.15,2.17,1.908,2.166,2.149,1.775,1.563,1.383
R01D,1.36,1.35,1.31,1.36,1.31,0,1.343,1.292,1.26,1.118
R01D,0.95,0.96,0.96,0.98,0.96,0.955,0.961,0.824,0.836,1.616
R01D,1.3,1.27,1.27,1.454,1.22,1.27,1.27,1.228,1.055,1.162
R01D,1.59,1.538,1.55,1.63,1.5,1.583,1.585,1.652,1.755,1.516
R01D,1.5,2.5,2.5,2.5,2.475,1.505,2.5,1.22,1.204,1.069
R01D,0.81,0.81,0.81,0.83,0.79,0.809,0.808,0.833,1.375,1.984
R01D,0.81,0.81,0.81,0.82,0.8,0.807,0.808,0.823,1.247,1.929
R01D,0.91,0.9,0.9,0.905,0.8,0.913,0.892,1.519,2.079,2.219
R01D,1.2,1.24,1.3,1.3,1.24,1.198,1.256,1.154,0.993,1.267
R01D,1.31,1.29,1.31,1.31,1.28,1.288,1.292,1.368,1.27,1.166
R01D,0.97,0.82,0.95,0.96,0.79,0.832,0.827,1.026,1.773,2.121
R01D,0.81,0.81,0.82,0.86,0.79,0,0.812,0.846,1.491,2.026
R01D,0.82,0.82,0.97,0.97,0.79,0.835,0.825,1.135,1.843,2.15
R01D,2.1,1.8,2.02,2.04,1.8,2.103,2.012,1.729,1.761,1.591
R01D,0.84,0.83,0.82,0.88,0.81,0.823,0.826,0.816,0.838,1.648
R01D,2.1,2.142,2.15,2.15,1.85,2.143,2.116,1.796,1.574,1.388
R01D,0.91,0.89,0.89,0.9,0.888,0.9,0.89,1.779,2.208,2.264
R01D,1.13,1.18,1.2,1.53,1.1,1.134,1.198,1.143,0.986,1.271
R01D,1.56,1.54,1.55,1.56,1.51,1.534,1.53,1.645,1.752,1.51
