Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,4.575,4.75,4.73,5.5,3.5,4.626,4.717,2.012,1.85,1.686
R01D,1.87,1.71,1.73,2,1.5,1.862,1.715,1.806,1.674,1.483
R01D,1.4,1.32,1.77,1.77,1.3,1.321,1.382,1.205,1.028,1.25
R01D,1.58,1.29,1.77,1.77,1.29,1.336,1.374,1.192,1.016,1.239
R01D,0.82,0.83,0.83,0.9,0.82,0,0.829,0.818,0.841,1.652
R01D,0.82,0.82,0.825,0.92,0.81,0,0.831,0.829,1.044,1.848
R01D,2.02,2.03,2.04,2.22,1.82,2.019,2.033,1.77,1.774,1.616
R01D,1.43,1.44,1.43,1.58,1.4,1.438,1.442,1.257,1.23,1.094
R01D,1.47,1.25,1.28,1.34,1.24,1.237,1.264,1.213,1.131,1.095
R01D,1.28,1.3,1.58,1.58,1.28,1.306,1.336,1.184,1.01,1.247
R01D,1,1.05,1.001,1.05,0.98,1.001,1.01,1.1,0.965,1.337
R01D,1.67,1.77,1.79,1.8,1.77,1.952,1.797,1.727,1.717,1.521
R01D,1.1,1.1,1.09,1.2,1.08,1.101,1.101,0.863,0.847,1.552
R01D,1.033,1.031,1.05,1.05,1.03,1.031,1.037,1.221,1.265,1.265
R01D,1.5,1.48,1.5,1.53,1.4,1.497,1.493,1.865,1.635,1.434
R01D,1.66,1.64,1.64,1.7,1.6,1.661,1.642,1.647,1.747,1.517
R01D,1.3,1.3,1.2,1.42,1.2,1.324,1.303,1.046,0.938,1.429
R01D,1.22,1.196,1.21,1.21,1.196,1.219,1.21,1.325,1.314,1.314
R01D,1.49,1.48,1.5,1.55,1.4,1.489,1.491,1.866,1.649,1.43
R01D,1.43,1.42,1.43,1.8,1.39,1.432,1.417,1.298,1.274,1.124
R01D,1.37,1.35,1.33,1.65,1.3,1.352,1.319,1.329,1.272,1.151
R01D,1.61,1.65,1.61,1.8,1.541,1.613,1.603,1.67,1.777,1.535
R01D,1.66,1.46,1.456,1.506,1.45,0,1.468,1.763,1.7,1.515
R01D,1.45,1.48,1.48,1.48,1.48,0,1.48,1.79,1.557,1.328
R01D,1.54,1.54,1.54,1.54,1.54,0,1.54,1.641,1.725,1.441
R01D,2.33,2.3,2.31,2.34,2,0,2.292,1.711,1.527,1.378
R01D,1.6,1.67,1.7,1.7,1.65,1.601,1.675,1.76,1.671,1.477
R01D,1.17,1.17,1.2,1.21,1.16,1.173,1.172,1.239,1.194,1.02
