Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.05,1.03,1.08,1.23,1.02,1.038,1.038,1.188,1.225,1.052
R01D,1.44,1.51,1.51,1.51,1.5,0,1.506,1.418,1.307,1.315
R01D,1.44,1.216,1.47,1.47,1.216,0,1.45,1.329,1.329,1.329
R01D,0.82,0.92,0.91,0.92,0.85,0.819,0.916,1.549,2.098,2.226
R01D,1.49,1.5,1.46,1.5,1.45,1.492,1.465,1.871,1.65,1.459
R01D,1.5,1.45,1.4,1.54,1.4,1.487,1.464,1.855,1.638,1.426
R01D,0.81,0.81,0.82,0.91,0.8,0,0.827,0.834,1.294,1.956
R01D,1.18,1.16,1.18,1.28,1.158,1.177,1.179,1.246,1.223,1.037
R01D,1.73,1.65,1.66,1.85,1.5,1.715,1.657,1.803,1.676,1.486
R01D,1.39,1.37,1.38,1.38,1.36,1.379,1.371,1.308,1.311,1.305
R01D,0.82,0.83,0.82,0.99,0.82,0.82,0.83,0.818,0.847,1.687
R01D,1.19,1.25,1.3,1.4,1.25,1.209,1.277,1.238,1.175,1.038
R01D,1.8,1.36,1.39,1.56,1.36,1.379,1.383,1.195,1.21,1.065
R01D,1.45,1.27,1.26,1.27,1.25,1.302,1.258,1.331,1.31,1.31
R01D,1.22,1.185,1.55,1.55,1.185,0,1.204,1.217,1.155,1.025
R01D,0.83,0.85,0.85,0.87,0.83,0.842,0.851,0.819,0.835,1.632
R01D,1.92,1.92,1.96,1.96,1.92,0,1.954,1.742,1.791,1.579
R01D,1.1,1.15,1.247,1.33,1.1,0,1.168,0.893,0.864,1.537
R01D,1.781,1.678,1.678,1.678,1.678,0,1.678,1.628,1.676,1.416
R01D,0.8,0.82,0.82,0.92,0.8,0.815,0.819,0.821,1.131,1.876
R01D,1.23,1.22,1.22,1.26,1.2,0,1.222,1.197,1.132,1.063
R01D,0.82,0.82,0.81,0.83,0.81,0,0.818,0.859,1.57,2.052
R01D,1.246,1.35,1.35,2,1.15,1.241,1.359,0.996,0.908,1.47
R01D,0.99,1,1.38,1.38,0.97,1.042,1.233,1.23,1.23,1.23
R01D,1.34,1.321,1.34,1.34,1.321,1.337,1.339,1.33,1.318,1.307
R01D,1.84,1.73,2.6,2.6,1.73,0,1.733,1.639,1.724,1.497
R01D,1.33,1.3,1.32,1.32,1.282,1.311,1.301,1.325,1.271,1.146
R01D,1.55,1.536,1.55,1.64,1.521,1.542,1.542,1.679,1.778,1.546
R01D,1.33,1.3,1.33,1.38,1.28,1.326,1.332,1.008,0.918,1.458
