Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.15,1.15,1.145,1.18,1.11,1.148,1.149,1.206,1.092,1.113
R01D,1.45,1.5,1.48,1.51,1.41,1.449,1.477,1.842,1.618,1.408
R01D,0.92,0.83,0.83,0.94,0.8,0.821,0.83,1.381,2.005,2.209
R01D,1.531,1.59,1.59,1.65,1.54,0,1.586,1.652,1.76,1.516
R01D,1.47,1.26,1.61,1.61,1.24,0,1.278,1.167,1,1.254
R01D,2.15,1.84,1.88,1.99,1.42,0,1.873,1.716,1.752,1.576
R01D,0.888,0.96,0.93,0.97,0.88,0,0.922,1.405,2.027,2.22
R01D,0.816,0.82,0.815,0.94,0.79,0.814,0.813,0.855,1.551,2.047
R01D,1.83,1.838,1.86,1.9,1.838,1.848,1.855,1.547,1.421,1.296
R01D,0.82,0.95,0.95,1,0.8,0,0.82,0.817,0.924,1.77
R01D,2.02,2.11,2.12,2.13,2.07,1.991,2.101,1.721,1.758,1.583
R01D,1.12,1.13,1.1,1.15,1.06,1.119,1.115,1.201,1.203,1.024
R01D,1.91,1.73,1.8,2,1.6,1.717,1.77,1.708,1.695,1.489
R01D,1.76,1.8,1.75,1.91,1.75,1.74,1.807,1.679,1.766,1.537
R01D,1.49,1.5,1.5,1.51,1.5,1.507,1.5,1.382,1.3,1.208
R01D,1.53,1.53,1.47,1.545,1.44,1.53,1.524,1.658,1.759,1.526
R01D,0.92,0.8,0.93,0.93,0.8,0.808,0.808,0.829,1.252,1.934
R01D,1.29,1.29,1.29,1.3,1.27,1.286,1.287,1.356,1.264,1.159
R01D,1.33,1.31,1.32,1.33,1.28,1.309,1.301,1.322,1.265,1.141
R01D,1.4,1.45,2.6,2.6,1.45,1.414,1.525,1.199,1.193,1.062
R01D,0.82,0.822,0.819,0.83,0.8,0,0.819,0.824,1.163,1.89
R01D,1.154,1.2,1.16,1.2,1.14,1.155,1.157,1.22,1.194,1.017
R01D,1.36,1.36,1.37,1.4,1.35,0,1.358,1.186,1.187,1.056
R01D,1.22,1.2,1.2,1.22,1.18,1.201,1.2,1.189,1.131,1.051
R01D,1.24,1.23,1.23,1.28,1.21,1.243,1.229,1.187,1.112,1.075
R01D,1.38,1.35,1.31,1.36,1.31,0,1.344,1.292,1.261,1.12
R01D,0.809,0.812,0.81,0.85,0.79,0.808,0.807,0.839,1.376,1.981
R01D,1.41,1.5,1.51,1.8,1.5,0,1.511,1.394,1.286,1.195
