Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.04,1.1,1.08,1.15,1.05,1.039,1.09,1.181,1.205,1.031
R01D,1.25,1.272,1.53,1.53,1.22,1.269,1.281,1.234,1.062,1.16
R01D,2.27,2.27,2.255,2.28,1.85,2.274,2.241,1.757,1.544,1.371
R01D,2.01,2.2,2.2,2.4,1.9,0,2.178,1.6,1.454,1.32
R01D,1.5,1.53,1.55,1.55,1.4,1.499,1.527,1.845,1.621,1.417
R01D,1,1.09,1.09,1.13,1.08,1.013,1.09,1.104,0.965,1.328
R01D,1.09,1.06,1.05,1.09,1.02,1.099,1.053,1.179,1.204,1.033
R01D,2.3,2.15,2.15,2.4,2.1,1.879,2.17,1.411,1.336,1.24
R01D,0.95,0.96,0.96,0.98,0.95,0.952,0.961,0.823,0.833,1.614
R01D,1.45,1.45,1.45,1.47,1.4,1.444,1.448,1.855,1.629,1.404
R01D,1.95,2.01,1.95,2.06,1.86,0,2.007,1.732,1.749,1.591
R01D,0.82,0.829,0.84,0.86,0.82,0.828,0.839,0.819,0.838,1.642
R01D,1.45,1.5,1.45,1.54,1.45,0,1.499,1.842,1.616,1.42
R01D,1.45,1.47,1.47,1.49,1.45,0,1.472,1.859,1.631,1.405
R01D,2,2,1.95,2.058,1.95,2.005,2.02,1.752,1.756,1.599
R01D,1.34,1.34,1.37,1.37,1.33,1.328,1.346,1.394,1.277,1.183
R01D,1.3,1.25,1.241,1.254,1.2,1.255,1.24,1.216,1.157,1.022
R01D,1.59,1.54,1.53,1.61,1.48,0,1.536,1.661,1.763,1.524
R01D,1.1,1.09,1.1,1.11,1.09,1.096,1.097,0.861,0.845,1.55
R01D,1.29,1.34,1.34,1.35,1.3,1.299,1.337,1.389,1.271,1.179
R01D,2.6,2.5,2.5,2.5,2.5,1.525,2.5,1.223,1.205,1.07
R01D,0.82,0.82,0.82,0.84,0.8,0.817,0.817,0.815,0.908,1.763
R01D,0.83,0.83,0.82,0.95,0.819,0.827,0.828,0.819,0.841,1.65
R01D,0.81,0.81,0.81,0.83,0.8,0.808,0.807,0.826,1.322,1.96
R01D,1.6,1.55,1.6,1.65,1.5,1.594,1.595,1.634,1.735,1.501
R01D,1.1,1.09,1.1,1.11,1.08,0,1.095,0.859,0.847,1.557
R01D,0.96,1,1,1.35,0.998,0,1.007,0.835,0.837,1.586
R01D,0.819,0.81,0.82,0.9,0.8,0.819,0.818,0.824,1.148,1.884
R01D,1.59,1.54,1.53,1.59,1.49,1.588,1.534,1.647,1.753,1.513
